SID;Sent;WID;Token;Type;GS/Head;SA/Head;SA/New Head;SA/Check;SA/Gramm;Lemma;New Gram;СемСин/Head;Этап-3/Head;СемСин/Mark;Этап-3/Mark
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;17;учили;coord;14;14;;0;vrb,pl,fem,msc,neu,fin,fst,sec,trd,pst,ind,act;учить;;14;16;0;3
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;18;нас;comp;17;19;;1;prn,pl,fem,msc,neu,acc,fst;мы;;17;17;0;0
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;19;сотрудничать;comp;17;17;;0;vrb,pl,fem,msc,neu,inf,fst,sec,trd,pst,act;сотрудничать;;17;17;0;0
1785;Эта книга посвящается нашим родителям , Роджеру и Фрэнсис Джонсон , которые не признавали соперничества и учили нас сотрудничать .;20;.;;-10;;;;pnt;.;;;;;
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;1;Благодарим;pred;0;;;h;vrb,pl,fem,msc,neu,fin,fst,prs,ind,act;благодарить;;;;h;h
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;2;тысячи;comp;1;1;;0;num,pl,fem,msc,neu,gen,trd;тысяча;;1;1;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;3;педагогов;mod;2;2;;0;nn,pl,msc,anm,gen,trd;педагог;;2;2;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;4;0;;-10;3;;3;pnt;0;;;;;
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;5;использующих;phdep;3;3;;0;ptp,pl,msc,gen,trd,act;использовать;;3;3;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;6;на;circ;5;5;;0;prp,loc;на;;11;5;1;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;7;практике;pcomp;6;6;;0;nn,sg,fem,loc,trd;практика;;;6;;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;8;принципы;obj;5;5;;0;nn,pl,msc,acc,trd;принцип;;5;5;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;9;сотрудничества;mod;8;8;;0;nn,sg,neu,gen,trd;сотрудничество;;8;8;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;10;и;cj;11;5;;3;cnj;и;;11;5;0;3
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;11;создающих;coord;5;5;;0;ptp,pl,msc,gen,trd,act;создавать;;3;10;1;3
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;12;обучающие;amod;13;13;;0;ptp,pl,fem,nom,trd,act;обучать;;3;13;1;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;13;коммуны;obj;11;11;;0;nn,pl,fem,acc,trd;коммуна;;12;11;1;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;14;0;;-10;16;;3;pnt;0;;;;;
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;15;в;circ;18;18;;0;prp,acc;в;;18;18;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;16;которых;pcomp;15;15;;0;prn,pl,fem,anm,acc,trd;который;;15;15;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;17;ученики;subj;18;18;;0;nn,pl,msc,anm,nom,trd;ученик;;18;18;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;18;заботятся;preds;13;13;;0;vrb,pl,msc,fin,trd,prs,ind,act;заботиться;;13;13;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;19;как;cj;20;18;;3;adv;как;;18;24;1;3
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;20;о;comp;18;18;;0;prp,loc;о;;18;18;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;21;личном;amod;22;22;;0;adj,sg,neu,loc,trd;личный;;22;22;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;22;благополучии;pcomp;20;20;;0;nn,sg,neu,loc,trd;благополучие;;20;20;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;23;0;;-10;3;;1;pnt;0;;;;;
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;24;так;cj;26;;;6;adv;так;;22;20;1;3
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;25;и;lexmod;24;24;;0;cnj;и;;;24;;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;26;об;coord;20;;;6;prp,loc;об;;24;24;1;3
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;27;академических;amod;28;28;;0;adj,pl,msc,loc,trd;академический;;28;28;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;28;успехах;pcomp;26;26;;0;nn,pl,msc,loc,trd;успех;;26;26;0;0
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;29;друг;mod;28;30;;3;nn,sg,msc,anm,nom,trd;друг;;28;30;0;1
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;30;друга;lexmod;29;28;;3;nn,sg,msc,anm,gen,trd;друг;;;28;;1
1786;Благодарим тысячи педагогов , использующих на практике принципы сотрудничества и создающих обучающие коммуны , в которых ученики заботятся как о личном благополучии , так и об академических успехах друг друга .;31;.;;-10;;;;pnt;.;;;;;
1787;За все эти годы они многому научили нас .;1;За;circ;7;7;;0;prp,acc;за;;7;7;0;0
1787;За все эти годы они многому научили нас .;2;все;amod;4;4;;0;prn,pl,msc,nom,trd;весь;;4;4;0;0
1787;За все эти годы они многому научили нас .;3;эти;amod;4;4;;0;prn,pl,msc,nom,trd;этот;;4;4;0;0
1787;За все эти годы они многому научили нас .;4;годы;pcomp;1;1;;0;nn,pl,msc,acc,trd;год;;1;1;0;0
1787;За все эти годы они многому научили нас .;5;они;subj;7;7;;0;prn,pl,fem,msc,neu,nom,trd;они;;7;7;0;0
1787;За все эти годы они многому научили нас .;6;многому;comp;7;7;;0;prn,sg,msc,neu,dat,trd;многий;;7;7;0;0
1787;За все эти годы они многому научили нас .;7;научили;pred;0;;;h;vrb,pl,fem,msc,neu,fin,trd,pst,ind,act;научить;;;;h;h
1787;За все эти годы они многому научили нас .;8;нас;obj;7;7;;0;prn,pl,fem,msc,neu,acc,fst;мы;;7;7;0;0
1787;За все эти годы они многому научили нас .;9;.;;-10;;;;pnt;.;;;;;
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;1;Особая;amod;2;2;;0;adj,sg,fem,nom,trd;особый;;2;2;0;0
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;2;благодарность;subj;3;;;3;nn,sg,fem,nom,trd;благодарность;;;6;n;1
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;3;—;elst;;;;;pnt;-;;;;;
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;4;Джудди;comp;3;5;;3;nn,sg,fem,anm,gen,trd,heu;джуддь;;;2;n;4
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;5;Бартлетт;appo;4;;;1;nn,sg,fem,anm,gen,dat,loc,trd;бартлетт;;;4;n;0
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;6;за;circ;3;5;;1;prp,acc;за;;2;;4;n
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;7;ее;amod;8;8;;0;prn,sg,fem,nom,acc,trd;её;;8;8;0;0
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;8;помощь;pcomp;6;6;;0;nn,sg,fem,acc,trd;помощь;;6;6;0;0
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;9;в;mod;8;8;;0;prp,loc;в;;8;8;0;0
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;10;подготовке;pcomp;9;9;;0;nn,sg,fem,loc,trd;подготовка;;9;9;0;0
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;11;этой;amod;12;12;;0;prn,sg,fem,gen,trd;этот;;12;12;0;0
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;12;книги;mod;10;10;;0;nn,sg,fem,gen,trd;книга;;10;10;0;0
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;13;к;mod;10;12;;4;prp,dat;к;;10;10;0;0
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;14;печати;pcomp;13;13;;0;nn,sg,fem,dat,trd;печать;;13;13;0;0
1788;Особая благодарность ? Джудди Бартлетт за ее помощь в подготовке этой книги к печати .;15;.;;-10;;;;pnt;.;;;;;
1789;Что такое обучение в сотрудничестве ?;1;Что;elst;;;;;cnj;что;;;;;
1789;Что такое обучение в сотрудничестве ?;2;такое;obj;1;3;;1;prn,sg,neu,nom,trd;такой;;;3;;1
1789;Что такое обучение в сотрудничестве ?;3;обучение;subj;1;;;3;nn,sg,neu,nom,trd;обучение;;1;1;0;0
1789;Что такое обучение в сотрудничестве ?;4;в;mod;3;3;;0;prp,loc;в;;3;3;0;0
1789;Что такое обучение в сотрудничестве ?;5;сотрудничестве;pcomp;4;4;;0;nn,sg,neu,loc,trd;сотрудничество;;4;4;0;0
1789;Что такое обучение в сотрудничестве ?;6;?;;-10;;;;pnt;?;;;;;
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;1;15;circ;5;2;;3;dgt;15;;2;10;3;2
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;2;июля;dep;1;10;;3;nn,sg,msc,gen,trd;ИЮЛЬ;;5;1;1;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;3;1982;mod;2;2;;0;dgt;1982;;4;4;2;2
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;4;года;dep;3;3;;0;nn,sg,msc,gen,trd;год;;2;2;2;2
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;5;бизнесмен;subj;10;10;;0;nn,sg,msc,anm,nom,trd;бизнесмен;;10;10;0;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;6;из;mod;5;10;;1;prp,gen;из;;10;5;1;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;7;Сиэтла;pcomp;6;6;;0;nn,sg,msc,gen,trd,cap;сиэтл;;6;6;0;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;8;Дон;appo;5;9;;3;nn,sg,fem,msc,anm,nom,gen,dat,acc,ins,loc,trd;ДОН;;;5;n;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;9;Беннет;appo;8;7;;1;nn,sg,fem,msc,anm,gen,trd;беннет;;5;8;4;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;10;стал;pred;0;;;h;vrb,sg,msc,fin,trd,pst,ind,act;стать;;;;h;h
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;11;первым;comp;14;10;;1;num,sg,msc,neu,ins,trd;первый;;14;14;0;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;12;в;dep;11;11;;0;prp,loc;в;;10;11;1;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;13;мире;pcomp;12;12;;0;nn,sg,msc,loc,trd;мир;;12;12;0;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;14;инвалидом;comp;10;16;;1;;инвалидом;;10;10;0;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;15;-;;;16;;3;;-;;;;;
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;16;ампутантом;appo;14;;;6;nn,sg,msc,anm,ins,trd,heu;АМПУТАНТ;;;14;;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;17;0;;-10;16;;3;pnt;0;;;;;
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;18;совершившим;phdep;14;16;;4;ptp,sg,msc,ins,trd,act;совершить;;14;14;0;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;19;восхождение;obj;18;18;;0;nn,sg,neu,acc,trd;восхождение;;18;18;0;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;20;на;mod;19;19;;0;prp,acc;на;;19;19;0;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;21;гору;pcomp;20;20;;0;nn,sg,fem,acc,trd;гора;;20;20;0;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;22;Рейнира;appo;21;21;;0;nn,sg,msc,anm,gen,trd,heu;рейнир;;;21;n;0
1790;15 июля 1982 года бизнесмен из Сиэтла Дон Беннет стал первым в мире инвалидом - ампутантом , совершившим восхождение на гору Рейнира .;23;.;;-10;;;;pnt;.;;;;;
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;1;За;circ;10;;;6;prp,acc,ins;за;;10;10;0;0
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;2;пять;pcomp;1;;;6;num,pl,fem,msc,neu,acc,trd;пять;;1;3;0;3
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;3;дней;dep;2;2;;0;nn,pl,msc,gen,trd;день;;2;1;0;3
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;4;он;subj;10;;;6;prn,sg,msc,nom,trd;он;;10;10;0;0
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;5;0;;-10;;;;pnt;0;;;;;
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;6;опираясь;phdep;10;10;;0;dee,act;опираться;;10;10;0;0
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;7;на;comp;6;6;;0;prp,acc;на;;6;6;0;0
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;8;костыли;pcomp;7;7;;0;nn,pl,msc,acc,trd;костыль;;7;7;0;0
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;9;0;;-10;6;;3;pnt;0;;;;;
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;10;поднялся;pred;0;;;h;vrb,sg,msc,fin,fst,sec,trd,pst,ind,act;подняться;;;;h;h
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;11;на;circ;10;10;;0;prp,loc;на;;10;10;0;0
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;12;одной;amod;13;13;;0;prn,sg,fem,dat,trd;один;;11;13;1;0
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;13;ноге;pcomp;11;11;;0;nn,sg,fem,loc,trd;нога;;;11;n;0
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;14;на;circ;10;10;;0;prp,acc;на;;10;10;0;0
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;15;высоту;pcomp;14;14;;0;nn,sg,fem,acc,trd;высота;;14;14;0;0
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;16;14;mod;15;15;;0;nn,sg,msc,neu,gen,trd;14;;15;15;0;0
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;17;410;dep;16;16;;0;dgt;410;;15;18;1;1
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;18;футов;dep;17;17;;0;nn,pl,msc,gen,trd;фут;;;15;n;1
1791;За пять дней он , опираясь на костыли , поднялся на одной ноге на высоту 14 410 футов .;19;.;;-10;;;;pnt;.;;;;;
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";1;Когда;circ;3;;;6;adv;когда;;;17;n;3
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";2;Беннета;obj;3;;;6;nn,sg,msc,anm,acc,trd,cap;беннет;;3;3;0;0
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";3;спросили;preds;17;;;6;vrb,pl,fem,msc,neu,fin,fst,sec,trd,pst,ind,act;спросить;;1;1;3;3
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";4;0;;-10;5;;3;pnt;0;;;;;
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";5;какой;subj;11;11;;0;prn,sg,msc,nom,trd;какой;;3;11;3;0
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";6;из;dep;5;11;;1;prp,gen;из;;5;5;0;0
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";7;преподанных;phdep;10;10;;0;ptp,pl,msc,gen,trd,psv;преподать;;10;10;0;0
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";8;этим;amod;9;9;;0;prn,sg,neu,ins,trd;этот;;9;9;0;0
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";9;событием;circ;7;7;;0;nn,sg,neu,ins,trd;событие;;7;7;0;0
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";10;уроков;pcomp;6;6;;0;nn,pl,msc,gen,trd;урок;;6;6;0;0
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";11;представляется;preds;3;3;;0;vrb,sg,msc,fin,trd,prs,ind,act;ПРЕДСТАВЛЯТЬСЯ;;5;3;3;0
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";12;ему;comp;11;11;;0;prn,sg,msc,dat,trd;он;;11;11;0;0
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";13;самым;spec;14;14;;0;prn,sg,msc,neu,ins,trd;самый;;11;14;1;0
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";14;важным;comp;11;11;;0;adj,sg,msc,neu,ins,trd;важный;;11;11;0;0
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";15;0;;-10;;;;pnt;0;;;;;
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";16;он;subj;17;17;;0;prn,sg,msc,nom,trd;он;;17;17;0;0
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";17;ответил;pred;0;;;h;vrb,sg,msc,fin,trd,pst,ind,act;ответить;;;;h;h
1792;"Когда Беннета спросили , какой из преподанных этим событием уроков представляется ему самым важным , он ответил : "" В одиночку такое невозможно "" .";18;:;;-10;;;;pnt;:;;;;;
